speaker,sentence,emotion,annotation
Rachel,I know.,0,4010000
Ross,Yeah.,0,4010000
Rachel,Yeah.,0,4010000
Phoebe,Ameri-can.,0,5000000
Sergei,Ameri-ccan.,0,5000000
Phoebe,Ameri-can. Y'know its a,0,5000000
Sergei,Everybody!!,5,0200030
Chandler,Good job Joe! Well done! Top notch!,1,0500000
Joey,You liked it? You really liked it?,5,0100040
Chandler,"Oh-ho-ho, yeah!",1,0500000
Joey,Which part exactly?,0,3100010
Chandler,The whole thing! Can we go?,0,3100010
Joey,"Oh no-no-no, give me some specifics.",7,2100101
Chandler,"I love the specifics, the specifics were the best part!",7,2200001
Joey,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0,3100010
Chandler,I was surprised to see a kangaroo in a World War I epic.,7,2000021
Joey,You fell asleep!!,4,0010301
Joey,There was no kangaroo!,4,0000311
Joey,They didnt take any of my suggestions!,7,0010202
Joey,Thats for coming buddy.,0,4010000
Joey,Ill see you later.,0,3020000
Chandler,Dont go!,2,0050000
Chandler,Im sorry.,2,0050000
Chandler,Im so sorry!,2,0050000
Chandler,Look!,5,1000130
Chandler,This guy fell asleep!,7,2000021
Chandler,He fell asleep too!,7,1100120
Chandler,Be mad at him!,4,1000400
Chandler,"Or, call an ambulance.",7,1000121
Joey,"Okay, look, I think we have to tell Rachel she messed up her dessert.",0,4001000
Ross,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",7,2000111
Phoebe,"Yes, and it is my dying wish to have that ring.",0,5000000
Phoebe,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",0,3001100
Chandler,"Okay, thats enough honey!",0,3100100
Customer,I dont know.  Let me see the ring.,0,5000000
Chandler,"Great! Okay, here.",1,2300000
Customer,All right.,0,5000000
Chandler,Thank you. Thank you. Thank you!  And,1,1400000
Chandler,What've you been up to?,0,5000000
Jade,"Oh, you know, the usual, teaching aerobics, partying way too much.",0,4100000
Jade,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0,4100000
Chandler,Can you hold on a moment? I have another call.  I love her.,1,2300000
Ross,I know.,0,5000000
Chandler,I'm back.,0,5000000
Jade,"So, are we gonna get together or what?",0,4100000
Chandler,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0,3200000
Jade,"Great, I'll see you then.",0,3200000
Chandler,Ok.  Ok. Having a phone has finally paid off.,1,2300000
Ross,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",0,5000000
Chandler,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",0,3101000
Ross,Oh my god. You are pure evil.,6,0000113
Chandler,"Ok, pure evil , horny and alone . I've done this",7,2020001
Phoebe,Nobody!,4,0000401
Phoebe,Nobody respects the bucket!,4,0000302
Phoebe,You wouldn't believe what people put in here!,7,0000212
Phoebe,Look!,4,1000301
Phoebe,"Okay, does this look like a garbage can to you?",4,0000311
Monica,No.,0,5000000
Ross,This is my wedding.,0,3200000
Monica,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",7,0002120
Ross,Fine. Youll-youll watch it on video when we get back.,0,3000101
Chandler,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,1,1300010
Phoebe,Thank you.,0,3200000
Phoebe,Thank you.,0,3200000
Ross,"All right, lets go! Bye, Pheebs!",1,1400000
Joey,"Bye, Pheebs!",1,1400000
Joey,London baby!!,1,0500000
Phoebe,"Oh, do you need a hug? You dont have to bring me anything!",1,2300000
Chandler,Hey!,7,2100020
Joey,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,1,1400000
Chandler,"Thats great, but shouldnt you be on the toilet right now?",7,2001011
Joey,What?!,5,1000031
Chandler,Whats wrong with you?,7,1001012
Joey,Nothing!,0,3000020
Joey,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",3,1013000
Joey,"But um, I dont think its anything serious.",0,4001000
Chandler,This sounds like a hernia. You have toyou-you go to the doctor!,5,1001030
Joey,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",3,0003101
Chandler,Thats a hernia.,7,2000021
Joey,Why did I have to start working out again?  Damn you 15s!,4,0000401
Mona,I love your place! Where is this guy from?,1,1400000
Ross,Uh thats an eighteenth century Indian artifact from Calcutta.,0,4100000
Mona,"Oh wow! So, youre more than just dinosaurs.",5,0100040
Ross,So much more.,0,5000000
Ross,"Well, well to sum up, were having fun, you look young.",0,3200000
Mona,Okay,0,5000000
Ross,But thats not enough. So Soheres a key to my apartment.,0,5000000
Mona,Really?!,5,0010040
Ross,Really.,0,4100000
Mona,You dont think this is too fast.,0,3000020
Ross,Get Out!,4,0000410
Charlie,"Ross, can I talk to you for a minute?",0,3020000
Ross,"Yes, please!  So, what's going on?",0,3200000
Charlie,"Uh, well... Joey and I broke up.",2,0050000
Ross,"Oh my God, wh-what happened?",5,0000050
Charlie,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",2,0030002
Ross,I knew that was him!,7,0000212
Charlie,"Anyway I just, uh, I think it's for the best.",2,1040000
Ross,"Hey, you ok?",0,3020000
Charlie,I guess.,2,2030000
Charlie,There was hum...  there was another reason that I thought it was time to end it with Joey.,0,4010000
Charlie,I started to realize that I was having feelings for someone  else.,0,3020000
Paleontologist,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",0,4100000
Ross,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",0,3000200
Charlie,"Yeah, can you guys just throw him in the pool later?",0,4000001
Professore Clerk,Or we could throw you both in,7,2100101
Ross,"Ok, gentlemen!",4,1100300
Ross,Please!,4,0000410
Ross,Aren't we a little old for this?,4,0000401
Ross,"I mean, we're scientists, right?",7,2010101
Ross,We're academics.,7,2010101
Ross,And most importantly I... you-you will have to catch us first.,1,1301000
Ross,.,0,4000100
Ross,"GO, GO, GO!",1,0301010
Ross,"Go, go, go!",1,0500000
Rachel,"Oh yeah, now everybody wants to be under this hat!",1,1300001
Phoebe,Oy!!,7,0200012
Monica,Whats with all this sand?,5,2000030
Phoebe,"Oh, yeah, Bob said there might be flood damage.",0,3010010
Ross,"Yeah, either that, or he has a really big cat.",0,4000001
Joey,"Okay, see that blind guy right there? I'm gonna bash his head in later.",4,2000300
Joey,"Oh umm, my big scene is coming up. Big scene coming up.",1,1400000
Chandler,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",0,4000001
Monica,Rach? What are you doing?,0,3000020
Rachel,"Oh boy, I just can't watch. It's too scary!",3,0005000
Monica,It's a diaper commercial.,0,3000020
Rachel,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",3,0013001
Caitlin,Pizza delivery!,1,1300010
Ross,I'll get it! I will get that!,1,2300000
Caitlin,Hi!,1,2300000
Ross,Hi!,1,2300000
Ross,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",0,5000000
Joey,"Uhh, the ball thing.",0,5000000
Ross,Yeah?,0,5000000
Joey,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",1,0500000
Ross,"Uhh,",0,5000000
Joey,Okay!,1,1400000
Joey,Uh-oh.,3,1003010
Ross,What?,0,3000020
Joey,I have to pee. And Rachel's in the bathroom!,7,1022000
Joey,"Man, I didn't think we were gonna make it!",5,1100030
Ross,"I know!  Don't switch hands, okay?",3,1003010
Joey,Hey.,0,5000000
Phoebe,Hey!,0,3200000
Rachel,How did it go with Erin?,0,4001000
Joey,"Oh, unbelievable! We had the best time!",1,0500000
Phoebe,"Yay!! Oh so, youre not, youre not mad at us anymore?",1,1300010
Joey,No!,7,2200010
Joey,No!,7,2200010
Joey,No!,7,2200010
Joey,You guys were totally right!,1,0400010
Joey,This is so much better than the first time we went out.,1,0400010
Joey,Yknow?,0,4001000
Joey,"That was so awkward, we were really nervous.",0,3010001
Phoebe,Didnt you sleep together?,0,3000011
Joey,"Yeah, that really calms me down.",0,4100000
Joey,And!,7,2200010
Joey,We have so much in common!,1,0400010
Joey,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",7,1200020
Rachel,"Oh my God! Listen to you talkin about having kids. Oh my Joey.  Oh, please dont get married before I do.",5,0101030
Joey,Okay.,0,5000000
Monica,How does she do that?,5,1000040
Ross,I cannot sleep in a public place.,0,3001001
Monica,Would you look at her? She is so peaceful.,7,1200020
Phoebe,Oh! What what what! ...Hi.,5,1000040
Ross,"It's okay, y'know, you just nodded off again.",0,5000000
Monica,What's going on with you?,5,1000040
Phoebe,I got no sleep last night!,4,1000400
Ross,Why?,0,3000020
Phoebe,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",6,1010003
Phoebe,"Oh, and deaf.",0,3010001
Phoebe,"So they're constantly, like, having to reassure each other that they're having a good time.",0,3000002
Phoebe,You have no idea how loud they are!,6,1000013
Monica,"Well, if you want, you can stay with Rachel and me tonight.",0,5000000
Phoebe,Thanks.,1,2300000
Joey,Ew! What is that? Something exploded!,6,0000023
Nurse,"It's just her water breaking. Calm down, will you?",0,3000200
Joey,"Water breaking, what do you mean? What's that, water breaking?",5,1000031
Nurse,"Breathe, breathe, breathe.",0,4001000
Monica,"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",5,0001130
Chandler,Okay! You dont think I thought of that?,7,1002020
Phoebe,How can you not know which one?,5,1000130
Rachel,I mean thats unbelievable.,7,2000021
Monica,"I mean, was it Gina?",0,3000020
Ross,Which one is Gina?,0,5000000
Rachel,"Dark, big hair, with the airplane earrings.",0,5000000
Monica,"No, no, no, thats Dina.",0,5000000
Chandler,"You see you cant tell which one is which either, dwha!!",5,0000041
Rachel,"I dont know, you thought See you Saturday was funny.",0,3100010
Rachel,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",0,4100000
Rachel,You guys would never want to go to a lecture with me.,0,3020000
Ross,Pa-haa!! I would love to go with you.,1,0500000
Rachel,Really!?,5,1000040
Ross,"Yeah, hey I-I have clothes, I even pick them out.",0,3100010
Ross,"I mean for, for all you know I could be a fashion..... monger.",0,3100010
Rachel,"Okay. Honey, I would love for you to go with me.  What?",1,0300020
Ross,"What should I wear, now Im all nervous.",3,0005000
Mr. Treeger,": I know, we did it!! Hey, that was incredible, huh?!",1,0500000
Joey,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",1,0500000
Mr. Treeger,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",1,1400000
Joey,"Oh well, okay, good luck.",7,1120100
Mr. Treeger,: Yeah.,0,5000000
Joey,Unless you wanna practice the Foxtrot again? Or-or the Tango?,0,4010000
Mr. Treeger,": Ahh, thanks but no. You see I-I think Im ready to dance with girls.",0,4000001
Joey,Okay.,0,4010000
Mr. Treeger,: Yeah.,0,5000000
Joey,Go get em Treeger.,0,4100000
Mr. Treeger,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",0,5000000
Joey,Really?,5,0100040
Mr. Treeger,": Yeah, you could dance real good with her, shes the same size as me.",0,4100000
Joey,"No, Im good.",0,3001001
Ross,"Oh God, this is so nerve wracking! How-how do you do this?",7,0002120
Joey,"Well, unfortunately, I don't get many callbacks so",0,3020000
Carol,Is it a good sign that they asked us to hang around after the audition?,5,2000030
Joey,Who knows?,0,3001010
The Casting Director,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",0,5000000
Ross,Yes!! I knew it!!  Bye-bye! So long! Later!,1,0500000
Joey,Oh this is great! I might actually get to play Ben's dad!,1,0500000
Ross,Yeah!,1,0500000
The Casting Director,"Actually, that can't happen.",0,4010000
The Casting Director,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",0,5000000
The Casting Director,So it'll be either you two  or you two.,0,5000000
Joey,"Man, this is gonna be kinda weird.",7,1011011
Ross,"Yeah, it is.",0,3010010
Ross,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",0,3101000
Monica,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",7,2012000
Chandler,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",1,0300200
Ross,Please!,7,0010211
Ross,Are you kidding?,7,0010121
Ross,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.",7,0220100
Ross,"And its all because of you, wonderful, amazing you.",1,0500000
Emily,I think youve got concussion.,3,1003010
Ross,"No, no, Im serious. Thank you.",1,1400000
Emily,Youre welcome.  Im sorry. Did I hurt you?,3,1003010
Ross,"Its worth the pain.  Yknow what, you know what? Its not.",7,0210110
Monica,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,5,0100040
Chandler,"I do! Want a hint? huh? ""I do""  ""I do"".",7,2200010
Monica,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",0,3100001
Chandler,David is going to propose to Phoebe.,1,1400000
Monica,What?  Why?,5,0000050
Chandler,"Be-cause, we were talking about ways that he could beat Mike and I told him that Phoebe wanted to get married.",7,2201000
Monica,"Chandler, we have talked about this.",4,1010300
Monica,You are not supposed to give people advice!,4,1000400
Monica,Now couldn't you just have made some sort of inappropriate joke?,7,0000212
Chandler,I,0,4010000
Monica,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,4,0000320
Monica,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",7,0011201
Chandler,"Man, that's some",7,2021000
Ross,"Oh, that's not what you want...",0,4010000
Elizabeth,"This is my father, Paul Stevens. Dad, this is Ross Geller.",0,4100000
Ross,It-its great to meet you Paul.,1,1301000
Paul,I usually prefer Elizabeths boyfriends to address me as Mr. Stevens.,0,3000101
Ross,"Of course, of course, Mr. Stevens.",0,3001010
Paul,"So Ross, what your problem?",4,0000401
Ross,Eh-whExcuse me?,5,1001030
Paul,Why cant you get a girlfriend your own age?,4,0000311
Ross,Thats funny. Umm.  Its not funny.,3,0013100
Paul,I,0,4000010
Ross,Okay.,0,4010000
Ross,"I can, I can see that.",0,3011000
Ross,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",3,2003000
Paul,Okay.,0,4000100
Ross,What?,0,3000020
Paul,Okay. Ill give you one chance to change my mind.  You got one minute.,4,1000301
Elizabeth,Daddy!,5,1000040
Joey,"Oh well, its not on TV yet.",0,5000000
The Dry Cleaner,"Well, then its not on the wall yet.",0,4000100
Joey,"Okay, fine, I will bring you a tape, huh?",0,4001000
Phoebe,"So umm, now do you have any of Matt Lauers clothes here? Maybe? Just ones that havent been cleaned yet?",0,3101000
Joey and Chandler,Ooooohh!,5,0100040
Phoebe,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",0,3000002
Monica,Was it...?,5,2000030
Phoebe,"Oh, boy scouts could have camped under there.",0,3000002
Rachel,"""Ooo,"" what?",5,1100030
Phoebe,Uma Thurman.,0,4100000
Monica,Oh!,5,0000050
Ross,The actress!,5,0200030
Ross,Thanks Rach.,0,4100000
Chandler,So what are you gonna do?,5,2000030
Ross,You have to tell her!,1,0301100
Ross,You have to tell her!,1,0300200
Ross,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",7,0200102
Ross,Guys?,7,1002110
Ross,Guys?,7,1002020
Chandler,"Oh, yeah, you have to tell her.",0,5000000
Joey,Feminist issue. That's where I went!,0,4000010
Phoebe,She is gonna hate me.,3,0023000
Ross,"Yeah, well...",0,5000000
Chandler,Will you marry me?,7,2200010
Joey,Its the big night! We wanted to wish you good luck!,1,0500000
Ross,"Yeah, yeah you have the ring?",0,3200000
Chandler,"Yeah, right here in my pocket.  Pheebs?",0,4100000
Phoebe,Oh! Oop!,5,0001040
Chandler,"Okay, now will you guys get out of here? I want this is to be a surprise and shes gonna know.",0,3100100
Ross,Yeah-yeah you guys. Get out of here!,0,3100100
Monica,Hi guys.,0,5000000
Chandler,You are beautiful.,1,1400000
Monica,"Oh, thank you!   Whats going on?",1,1300010
Rachel,Were just reallyvery excited about this charity event that we have to go to.,0,3200000
Rachel,"Okay umm, Ross?",0,5000000
Rachel,"I'm-I'm really warm, so I'm going to be taking off my sweater.",0,4001000
Rachel,"Now, I'm just letting you know that this is",0,4001000
Ross,Yep! That's hilarious!,1,0400001
Rachel,I'm sorry. I'm done. I'm done.,0,3110000
Ross,"Y'know, last night was embarrassing for you too.",0,5000000
Rachel,"No, not really. I mean you've seen me naked hundreds of times.",0,5000000
Ross,Uh-huh. But it was a first for the rest of my building.,0,4000010
Rachel,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",0,3100010
Ross,What?! You totally get embarrassed!,5,0000050
Rachel,"No, I don't! Ross, I think I'm just a more secure person than you are.",0,4000010
Ross,Is that so?,0,3000020
Rachel,Yeah.,0,4000010
Ross,Hey lady! I don't care how much you want it! Okay?! I am,6,0000104
Phoebe,I cant believe it!,5,0100040
Phoebe,I did it!,1,0400010
Phoebe,I rode a bike!,1,1300010
Phoebe,I never thought Id be able to do that!,1,0300020
Phoebe,Thank you Ross.,1,1400000
Ross,"Oh hey, dont thank me, thank yourself. Youre the one who faced her fears and ultimately overcame them.",1,1400000
Chandler,"Well yeah, but then",7,2102000
Ross,"YeahNo-but-but-but-but! Were just gonna go home and take a shower. Now, thats not scary right?",7,2201000
Chandler,Depends on what you mean by we.,0,3001010
Ross,"Hey, both you guys should be up there with me.",0,4100000
Ross,"I mean, you two are-are my I mean, Im lucky to have just one good",0,3101000
Chandler,Thanks man.,0,3200000
Joey,I gotta go check something over here.,0,4001000
Chandler,What a baby.,7,2000102
Ross,Total wuss!,7,0100112
Phoebe,David?,0,3000020
David,Phoebe! Hi!,1,0400010
Phoebe,Oh my God!,5,0100040
David,"Wow, you look unbelievable.",1,0400010
Phoebe,Yeah. What-what are you doing here?,5,1001030
David,"Well, I'm back from Minsk... permanently.",7,2210000
Phoebe,What happened?,5,1000040
David,"Well, remember how I was trying to achieve the positronic distillation of subatomic particles?",0,4100000
Phoebe,Yeah?,0,5000000
David,"Well, after eight years of research I discovered that it can't be done.",2,0040001
Phoebe,"Well, it's great that you're back! How are you?",1,0300020
David,"Good, good, life is good...",7,2120000
Phoebe,Good!,1,1400000
David,"Ah well, I-I'm seeing someone.",7,2021000
Phoebe,"Oh, good for you.",0,4010000
David,"She's also a scientist, so she's very smart and pretty and... well, it's actually because of you, really, that we're together, I mean, I saw what you had with that Mike guy, and I just said ""Boy, I want that"".",7,2210000
Phoebe,Mike and I broke up.,2,2030000
Chandler,"It means that we can keep trying, but there's    a good chance this may never happen for us.",2,1030001
Monica,Oh my God!,5,0000041
Chandler,I'm sorry.,2,0040001
Monica,I'm sorry too.,2,0040001
Chandler,"Well, we're gonna... we're gonna figure this out.",7,2021000
Monica,I know.,7,2111000
Monica,"Okay, we have a lot of options here, a number of prototypes for you to try on.",0,4100000
Joey,Wow! This looks great!,1,0300020
Monica,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",7,2200001
Joey,And-and-and-and-and the toothpicks?,7,2002010
Monica,You kissed another woman!,7,0000221
Chandler,Call it even?!,0,3001100
Monica,Okay!,7,1200200
Ross,"Well, Im gonna go get these  in some water.",0,5000000
Phoebe,Wait you stole those from these peoples wedding?,5,0000041
Ross,"No-no, I took them from the hotel lobby.",0,3000020
Ross,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",4,0000302
Ross,Hey!,5,0100040
Ross,My sweater!,5,0000050
Ross,Ive been looking for this for like a month!,5,0200030
Phoebe,Oh my God!!,5,0100040
Joey,Oh my God!,5,0100040
Kate,Happy?! Is that what Im supposed to be Vic? Happy?,7,0100112
Joey,"Well, why dont you tell me what youre supposed to be!",4,1000310
Joey,Huh?,5,1000130
Joey,Because I sure as hell cant figure it out!,4,0000401
Joey,I talk to you and nothin.,7,1010201
Joey,"You look at me, and its nothin.",7,1010201
Joey,Nothing.,7,2010101
The Director,"Tasty! Im really starting to feel like you guys have a history, its-its nice.",1,2300000
Kate,I have a question about this scene.,0,4000010
The Director,Yes?,0,4000010
Kate,"Well, I dont understand why Adriennes attracted to Victor.",7,2000120
The Director,"Peel the onion. First of all, hes good looking.",0,5000000
Joey,Yeah.,0,4000010
Kate,I think my characters gonna need a little bit more of reason than that.,0,5000000
Joey,"Oh, hey, how about this one.",0,4000100
Joey,"Ah, its says so in the script!",7,0000221
Joey,"Y'know ah, I-I dont know why my character likes you either, I mean it says in the script here that youre a bitch.",7,1000211
Kate,It doesnt say that in the script.,4,2000300
Joey,It does in mine!,7,2000210
Phoebe,I cant,7,2002001
Joey,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,7,1000112
Chandler,Yknow who has a great video camera?,0,5000000
Phoebe,Greg and Jenny?,0,5000000
Monica,Do you still wanna call em? I wanna call em.,0,3101000
Chandler,Lets call em.,0,4100000
Joey,Yeah! Ask them if they brought their friends any souvenirs!,1,0400100
Monica,Hello?  Eighth street deli?,0,5000000
Joey,"Hey, hang up! You get food poisoning just talkin to that place.",6,0000005
Monica,"Uh sorry, wrong number.",7,2011001
Chandler,Here you go.,0,3100010
Monica,Hello?   Its the deli again!,5,1001030
Joey,All right! Ill have a sandwich!,1,0400010
Monica,I dont think this numbers right!,7,1001120
Rachel,Oh come on!!,7,0000212
Mr. Tribbiani,"Gotta go. I miss you too, I love you, but it's getting real late now",2,1130000
Joey,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",5,1000040
Mr. Tribbiani,Her name's Ronni. She's a pet mortician.,0,5000000
Joey,Sure. So how long you been...,0,4000010
Mr. Tribbiani,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",0,5000000
Joey,Since then?!,5,0000050
Mr. Tribbiani,"No, it's only been six years.",0,5000000
Mr. Tribbiani,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,0,3110000
Mr. Tribbiani,...Joe.,0,5000000
Mr. Tribbiani,Y'ever been in love?,0,3020000
Joey,...I d'know.,0,4010000
Mr. Tribbiani,Then y'haven't. You're burning your tomatoes.,0,4000001
Joey,You're one to talk.,6,2000003
Mr. Tribbiani,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",0,3010001
Joey,Oh man. Please tell me one of 'em is Ma.,7,0001022
Mr. Tribbiani,"Of course, course one of 'em's Ma. What's the matter with you.",5,1000031
Chandler,"Everythings gonna be all right. Okay, Dick?",0,3001100
Guru Saj,"Hello, I am Guru Saj--Whoa!!  Thats supposed to be a duck right? Cause otherwise, this is waaay out of my league.",5,0100040
Monica,"Hey, Rach, how was work?",0,5000000
Rachel,"Oh, great. Although I did sit down where there wasnt a chair.",0,3000110
Monica,"By the way, Ross dropped by a box of your stuff.",0,5000000
Rachel,"Oh, well, I guess I had that one coming.",0,3010010
Rachel,"Im just gonna throw it out, its probably just a bunch of shampoo and...",0,4000100
Monica,Something wrong?,0,3001010
Rachel,No. Nothing.,0,4010000
Charlie,"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",0,4000010
Ross,"Yeah, that's it?",5,2000030
Charlie,Yeah.,0,5000000
Monica,Yess!!,1,0500000
Chandler,We're teeth people Zack!,1,0400010
Joey,"Dude, I am sorry about what I said!",2,0040010
Chandler,"No, no, youre right, it is a ridiculous name!",7,2000012
Joey,Its not that bad.,0,4010000
Chandler,"Yes it is! From now on, I have no first name.",7,2010002
Joey,"So, youre just Bing?",0,3000020
Monica,Because we won our apartment back!,1,0300020
Joey,"What? Ace is high! Jack, queen, king, ace!",5,0100130
Monica,"No! Ace is low! Ace, two, three, four!",7,0100220
Phoebe,I dont know. Ooh! Ooh! Look it!  Ah-ha!,5,0000050
Rachel,"All right, cut, lets pick again, pick again.",0,3000101
Joey,Okay.,0,5000000
Rachel,Come on apartment! Come on apartment!  Oh! I know queen is high!,7,0200120
Joey,"Uh-huh, not as high as It worked! King!",5,0100040
Chandler,Yeah baby!,1,0500000
Monica,"But, we pick again! We pick again!",1,1301000
Joey,Why?!,0,3000020
Monica,I dont know!,7,2001020
Chandler,Tickets please!  Thats courtside baby!,1,0500000
Joey,"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",5,1000040
Chandler,No they didnt!,7,1100120
Chandler,"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",0,3001010
Joey,It's gonna be worth it.,0,4100000
Joey,"It's a known fact that women love babies, all right?",0,3100010
Joey,Women love guys who love babies.,0,4100000
Joey,It's that whole sensitive thing.,0,5000000
Joey,"Quick, aim him at that pack o' babes over there.",0,3200000
Joey,Maybe one of them will break away.,0,3100010
Joey,"No, no wait, for get them, we got one, hard left.",7,2200010
Joey,"All right, gimme the baby.",0,4100000
Chandler,"No, I got him.",0,3000101
Joey,"No, seriously.",7,1000220
Chandler,"Oh, seriously you want him?",5,1000040
Joey,Hello.,0,4000010
Chandler,"Well, don't, don't think me immodest, but, me?",5,1010030
Joey,You wanna smell him?,0,3000110
Joey,"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",1,2300000
Joey,What'd I tell you? What'd I tell you?,7,2100020
Chandler,"Well, we are great guys.",0,3200000
Rachel,Bye.,0,5000000
Ross,"Well, not really.",0,4010000
Ross,"I mean technically its-its not against the rules or anything, but it is frowned upon.",0,4010000
Ross,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",7,2001002
Monica,"Well Ross, you be careful now. You dont want to get a reputation as yknow Professor McNailshisstudents.",7,1001012
Ross,Yeah. What-what should I do?,7,2002010
Joey,"Well Ross, it seems pretty clear.",0,5000000
Joey,I mean whats more important?,0,5000000
Joey,"What people think or how you feel, huh?",0,5000000
Joey,"Ross, you gotta follow your heart.",0,4100000
Monica,Joey that is so sweet.,1,0500000
Chandler,Hey.,0,5000000
Joey,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",0,3100010
Chandler,I couldnt do it.,2,1040000
Joey,You couldnt do it?!,5,0000050
Chandler,"Hey, relax I just need more time. Were going to dinner tonight.",0,3010010
Monica,What?! Youre going out with her again!,5,0000050
Ross,Going out with who?,0,3001010
Chandler,"Uh, Dana Keystone from college.",0,5000000
Ross,Oh yeah! Wasnt she uh,5,1000031
Chandler,"No, that was Dana Caplin.",0,4000100
Monica,Joey! You didnt even know her!,5,0000041
Joey,Ah whatever!,7,2000102
Joey,"Morning! Hey, hows my favorite genius and my little robot buddy?!",1,0400010
Wayne,Dont touch him!,4,0001310
Joey,Okay!,5,1000040
Joey,All right.,0,4010000
Joey,"Umm, all right Wayne, level with me.",0,3001100
Joey,Okay?,0,4000010
Joey,I-I keep hearing all these rumors that I might get fired.,3,2003000
Joey,"Okay, they even have actors coming in to read for my part!",7,0012110
Joey,"Come on man, you-you got to give me a second chance!",7,0021110
Joey,"I mean, I love-I love this little guy!",7,0121010
Joey,Ah-ah!!,5,1000130
Joey,"Okay, thats why you didnt want me to touch him right?",5,1000130
Joey,Here you go!,0,3000110
Joey,Okay?,0,5000000
Joey,Stupid!,4,0000302
Joey,I cant believe it!,5,0000230
Joey,God!,4,0000410
Joey,"Hey, how you doin?",0,4100000
Ross,Hey.,0,5000000
Rachel,"Hi. Look um, about what happened earlier...",7,2021000
Ross,"No, hey, well, I-I completely understand. You were, you were stressed.",0,3020000
Rachel,I was gonna give you a chance to apologise to me.,7,2010200
Ross,For what? For letting you throw me out of your office?,4,0010400
Rachel,You had no,4,1000301
Ross,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",4,0000500
Rachel,"But I told you, I didnt have the time!",4,0000410
