class_names,sentences
-1, I need to report lost luggage. 
-1, I'm very sorry that happened. 
0, What do I need to do?
0, Please fill out this lost luggage form.
-1, I have very important business papers in my suitcase. 
-1, I understand. I am very sorry. 
0, Will you contact me as soon as you find it?
0, Yes. We will send it to you right away.
0, I am staying in a hotel downtown.
0, We will contact you as soon as we locate your suitcase.
-1, I'm sorry but can we reschedule our meeting? 
0, Sure. Is something wrong?
-1, My husband is having surgery that day. 
-1, I'm sorry to hear that. 
-1," It's not serious, but I need to stay home with him. "
0, I understand. Let's reschedule when your husband is fully recovered.
0, Can we reschedule the presentation?
0, Again? Why?
-1, We aren't ready. 
0, We already rescheduled once. This will be the second time.
-1," I know, but we're just not ready. "
-1, You've had two months to prepare for this. 
0," I understand that, but we need more time."
0, The clients have been very patient.
-1, Please ask them for one more week. 
-1, You only have one week! 
0, How do you feel about that restaurant?
-1, It wasn't all that great. 
0, What did you dislike the most?
-1, I don't think that they had their act together. They didn't seem well prepared. 
0, Did you think that the food was any good?
-1, I wasn't all that impressed by the food. 
1, The service certainly could have been better.
-1, The service did not help the situation. 
0, Is this a restaurant that you want to come back to?
-1, I am not really interested in trying this restaurant again. 
0," Welcome, what would you like to order?"
0, I would like to get a double cheeseburger.
0, Would you like everything on it?
1," I would like everything on it, thank you."
0, Do you want any fries?
0, Let me get some large curly fries.
0, Can I get you anything to drink?
1," Sure, how about a medium Pepsi?"
0, Is that everything?
1, That'll be all. Thanks.
1," You're welcome, and your total is $5.48."
1, Thank you. Here you go.
0, What can I get for you?
0," Hello, may I have a double cheeseburger?"
0, With everything on it?
1, That sounds great.
0, Did you want fries with your order?
0, May I get a large order of curly fries?
0, Did you want something to drink?
0, Get me a medium Pepsi.
0, Would you like anything else?
0," No, thank you. That's it."
0," No problem, that'll be $5.48."
1, Thanks a lot. Keep the change.
0, How may I help you?
1, A double cheeseburger sounds good.
0, Everything on it?
1," Yes, please."
0, Would you like fries with that?
1, I would love large curly fries.
0, Would you like anything to drink?
0," Yes, let me have a medium Pepsi."
0, Will that be all?
1," Yeah, that's it. Thank you."
0, Your total comes to $5.48.
1, Here you go. Thank you very much.
-1, I have bad news. 
0, What is it?
-1, We are laying you off. 
-1, Why? I thought I was doing a good job. 
0, The company is restructuring and we're getting rid of your position.
-1, This is terrible. I just bought a home. 
0, Are you going to NAME's retirement party?
0, No. Are you?
0, I don't know. I don't think many people are going.
-1, He isn't a very nice person and he's a mean boss. 
-1, I know. I remember when he yelled at me for being 10 minutes late to a presentation. 
0, Weren't you in a car accident that morning.
-1, Yeah. I was pretty angry. 
-1, He would yell at people for unnecessary reasons. 
-1, Why is the company throwing him a retirement party? 
0," I don't know. I think his secretary, NAME, is planning it."
-1, She must be crazy. 
1," Maybe she is happy he is leaving, so she wants to have a party."
1, That's funny. Then we should all go.
0, Maybe we should.
1, That's a sad way to retire.
0, What is a sad way to retire?
1, To retire with no one liking you.
1, You're right. Maybe we should go to the party and say goodbye.
0, I have to plan for my retirement.
0, Have you thought about investing in stocks?
-1," Yeah, but stocks can be risky. "
-1, I know. My brother lost a lot of money in stocks. 
-1, That's what I'm worried about. 
1," However, I also know a few people who made a lot of money investing in stocks."
0, I guess it's a gamble.
0, You have to be smart.
0, You also have to be lucky!
1, That's right!
0, I need to order new business cards.
0, Do you have any idea how many you'd like?
1," I think 2,000 would be enough."
0," Would you fill out this form, please?"
-1, I don't want to make any changes to my old card. 
1," If you detect any difference, I'll take you out to dinner."
1," That's it. Here's the form, and here's my old card to use as a model."
1, Thank you. Your order will be ready seven days from now.
0," I need it sooner. Let me have it in three days, okay?"
1," We can certainly give you faster turnaround, but it will cost you extra."
0," Hi NAME, how was your first day at a new school?"
1," It was ok, Mom."
0, Did you make any new friends?
0, Yeah. A boy in my class.
0, Is he nice? What's his name?
1, He's cool. His name is NAME. He plays soccer.
1, You love soccer. You were on the soccer team at your old school.
-1," Yeah, I miss my old team with NAME, NAME, and NAME. "
0, I know you do. Do you want to invite NAME over to play one day?
1, Sure. He rides the school bus on our street.
0, Do you want to start riding the school bus too.
0, Yeah. Then I can meet more of the neighborhood kids.
0, Ok. Let's plan for you to ride the bus tomorrow morning.
0, NAME said the bus comes at 7:45.
0, Then you need to wake up at 7 o'clock.
0, I know. I'll set my alarm.
0, Turn on the news.
0, What happened?
-1, There is a bank robbery going on. 
0, Where?
0, On Main Street.
0, I was just there an hour ago.
-1, You got lucky. The robbers are still inside with hostages. 
-1, That's scary! I hope no one gets hurt. 
-1, The robbers are demanding money and a helicopter. 
0, What about the hostages?
0," Hey, NAME, is NAME coming with us?"
0, Yes. Why?
0, Nothing. I'm just asking.
-1," Just asking? But why is your face burning like mad? Ah-huh, someone has a crush on NAME, doesn't he? "
0, Who has a crush?!
1," Come on, NAME, don't be such a chicken. If you like her, you've got to tell her. Maybe she likes you."
-1," Well, I don't have the guts to ask her out. "
0, What're you so afraid of? Just tell her what you're feeling about her.
-1, I'd totally die if she turned me down. 
1," But that's better than keeping everything to yourself. You've got to let her know. Come on! You've got to take a chance! Even though you are rejected, it's not the end of the world! There's nothing to lose, is there?"
-1," I don't know....Well, maybe, you're right, but how am I going to tell her? "
0," NAME, I know you like NAME a lot, but what do you like about him?"
0," Well, I don't know, but there's just something about him. Don't you think so?"
0, Really? What's that something?
1," Well, he's gentle, patient, successful, and MATURE. I think He's my Mr. Right!"
-1," MATURE is a good word, but don't you think he's a little old for you? He's almost twice as old as you are! "
1," Well, age shouldn't be something that comes in the way of a person's marriage. As long as we love each other, age is not an issue."
0, But what will others think?
1," I don't care what others will think about us. I just know I love him and he loves me, and that's all that matters."
0," Hi, NAME, long time, no see!"
0, Yeah! How's everything going?
1, Not bad! At least I'm still alive.
1, Just alive? I guess you're some lucky guy. I heard you're going out with NAME.
0, Where did you get that idea?
1," Oh, come on. NAME is a very nice girl, someone you meet only once in a lifetime."
1," You're right. I'm not boasting, but she's really as beautiful as she is intelligent."
1," Well, I really envy you for finding such a nice girl."
0, I heard you're going out with NAME?
1," Yes. To be frank, I really love him to death."
1, You're so lucky!
0, Why do you say that?
1," Why? Are you kidding me? A guy like him is hard to find. Few boys are so caring, so patient, and, did I mention, he's a hottie?"
0, You really think so?
1," Totally! I'm saying it from the bottom of my heart! And it's obvious that he's head over heels in love with you, too."
1, I sure hope so!
0," Hi, NAME, how have you been?"
-1, Not very well. 
-1, Why? Looks like you're feeling very down! What happened? 
0, Nothing.
0," Come on. For a man who's feeling so down, there're usually two reasons. Either his career is going downhill, or he has a broken heart. Since you're so successful, it must be the other."
-1," Well, you're right. I just broke up with NAME. "
-1," Oh, I'm sorry. I thought you two were made for each other. "
-1," Well, you never know. I'm ready for a commitment and want to settle down, but she says she wants to pursue her career while she's still young. "
0," Well, you can't blame her. It's always difficult to choose between career and family."
0, Maybe you're right.
1," NAME, I don't know what to say to comfort you, but cheer up! There's plenty of fish in the sea and you'll find your soul mate, your perfect match!"
-1," Yeah, but it's hard to forget her at the moment. You know, we were together for almost five years. It's really hard.... "
1," Hi, B, we're having a party tonight, wanna come join us? You can bring your girlfriend."
-1, Well...I'm breaking up with NAME. 
0, What happened? Did you have a fight?
1, No. She's really a very nice girl....
1," Yeah, she is. She's pretty, caring, and easy-going. And she's a great cook! She's a gem!"
-1," Well, you're right. But sometimes she's too caring... well...no...she's just possessive...and...uh... I kind of want a break...you know...for some room for myself. "
0, Oh?! Did you talk with her about it?
-1," I've tried, but...it didn't work. "
0," Oh. So, when are you going to tell her?"
-1, Maybe tonight. I don't know. I don't know how to tell her. 
-1, I know she's head over heels in love with you. She'll be badly hurt! 
-1, I know.... 
-1," NAME, I'm very upset about something. Can I talk with you? I'd like your opinion. "
0," What is it about? Oh, is it about NAME?"
-1," Yeah, sort of.... "
0," So, what's up?"
0," What do you think of NAME, NAME?"
0," What do I think of him? You know him better than I do, don't you?"
-1," Please, don't tease me. Just tell me. "
0," Well, remember the other day when you said that NAME is a man who really shows you nothing but consideration?"
0, Uh-hunh...
0, And remember you said that he really makes you happy?
-1, Yeah. (Heave a sigh) NAME is indeed a gentleman. He has wonderful manners and is respectful of me. But I'm really bothered by his past! 
0, His past!? Was he an ex-con or something?
-1," No, no, no. That's not what I mean. He used to have a girlfriend and he loved her very much. He almost married her if it were not for an accident. "
0," Oh, I see. But why are you so bothered? That's already a history, isn't it?"
-1, I know. But I just can't get it off my mind. 
1," Come on, NAME. You're just being a little jealous, but that's just fine. You know, when you love him, you've got to love his past, his everything.... You've got to love him as a whole."
0," Hi, NAME. Haven't seen you for a while? How is NAME?"
-1, We're not seeing each other any more. 
0, What happened? Did you break up?
-1, Yeah. I got sick and tired of her nagging all the time. 
-1," Oh, I'm sorry. Maybe, you were just emotional at that moment. Do you think you guys can get back together? "
0, I don't know. There's plenty of fish out there in the sea.
-1," Oh, you're such a dog! "
-1, I'm about to run out of business cards. I need some new ones. 
1, We can print as many as you like. Just tell me how many.
1, Two thousand should get me through the year.
0, Here's a form to get you started.
1," My old card is perfect, so all I want you to do is copy it exactly."
1, I think you'll be very pleased with how well we duplicate your old card.
0," Here you go, your form and my old business card."
1," Thanks. Come back here next Wednesday to pick up your order, please."
0," I'm sorry, but can you give me a three-day turnaround?"
1," If you don't mind paying a little extra, it's absolutely no problem."
-1, I am so mad! My kids were playing in our yard and they stepped in dog poop. 
0, You don't have a dog.
0, I know. Someone is leaving dog poop in our yard.
-1, That's terrible. 
-1, It has happened twice already. 
0, What are you going to do?
0, I'm going to set up a secret video recorder in our yard.
0, What are you going to do when you find out who it is?
-1, I'm going to deliver their dog's mess to them and show them the video. 
-1, They are going to be so embarrassed. 
0, Hey NAME. What are you doing here?
0, Hi NAME. I need to buy some stamps. What about you?
-1," I was checking my post office box, but my key won't work. "
0, Do you know why?
-1, I think they canceled my account because I forgot to pay. 
-1, That's too bad. 
-1, Yeah. I use it for my business. 
0, How long have you been waiting?
0, I've been here since 8 am.
0, That's 30 minutes.
-1, I know. It's been a long wait. 
-1, There are still several people ahead of us. 
-1, Many people left. They were tired of waiting. 
-1, I don't think I can wait either. I have a dentist appointment at 9 am. 
-1, I'm going to wait. I need to re-open my account. 
0, Yeah. I understand. I'm going to come back later.
0, Ok. See you another time.
0, Bye NAME.
0, What kind of work do you do?
0, I run my own business.
0, What kind of business?
0, I have a website that teaches English to non-native speakers.
1, Wow! That's cool! How do you make money?
0," Advertisements, downloads, and software purchases."
0, Hey NAME. What are you doing?
0, Nothing much. What are you up to?
-1, I was just concerned about NAME. He hasn't been himself lately. 
-1, He took the civil service exam and failed. 
-1, That sucks. He must feel depressed. 
-1, Yeah. He's been sitting in his room everyday for the last 4 days. 
0, Why don't we take him out? We can try to take his mind off of it. In the least show him that we're there for him.
1, That's a great idea. Why don't you call him? I already talked to him a couple of times and it might be good for him to hear from somebody else.
1, Ok. I'll call you back after I'm done.
1, Sounds good.
-1, NAME. You look terrible. What's wrong? 
-1, My grandmother just passed away. 
-1, I'm so sorry to hear that. When did this happen? 
-1, A couple of days ago. I just got back from the funeral. 
0, Is there anything I can do?
-1, No... not really. The sad thing is that I wasn't there when she died. I really wanted to be there one last time. 
0, I'm sure she knew you loved her. Did she pass away in the hospital?
-1, Yeah. She died in her sleep. 
-1, I'm sorry she's gone. 
1, I am interested in selling my home and would like to know what is involved.
1, You have come to the right place. When were you interested in selling your home?
0, I just received a job transfer and need to relocate right away.
0, How long have you been in your current home?
0, I have lived in my home for about 10 years.
0," As I am sure that you are aware, the market has fallen in the past year. People are more likely to make money if they have owned their home for a while."
0, Will I be able to recover the money I paid for my home?
0," It is hard to say, but whatever house you buy will also be costing you a lot less."
0, What is the next step in selling my home?
1," I would like to meet with you tomorrow to look at your property, and then you and I can figure out a contract."
0, I am looking for a realtor to help me sell my home.
1, I would be happy to help you with any questions that you might have. When you thinking of selling your home?
0," I am interested in moving up to a bigger home, but first I need to sell the one I now own."
0, Have you owned your home for a long time?
0, I just bought my home two years ago.
0, I think you probably know that the market is not all that great. You are more likely to see a profit if you have owned for 8 years or more.
0, Will I be losing money if I sell right now?
0," It is impossible to predict with certainty what will happen, but you can purchase a replacement home at a lower rate also."
0, What can I do next to get the ball rolling on this sale?
0," If it works for you, I would like to come over and see your home. Then we can draw up a contract."
0, I am considering selling my home and would like information on doing so.
1, It would be my pleasure to answer any questions that you might have. Were you interested in selling in the near future?
0," I am just checking out the possibility of selling, as I am thinking of moving to Hawaii."
0," Is your home a recent purchase, or have you owned it for a while?"
0," The house has been in my family for years, but I just became the owner 6 months ago when my mother passed away."
0," Housing prices have fallen quite a bit. The longer you have owned your home, the greater the profit."
0, Am I going to lose my shirt selling my home right now?
0," It will all kind of even out. You may sell low, but you can also buy low."
0, What should we be doing to get the process started?
0," If it fits into your schedule, I could meet you tomorrow morning and we could take a look at your property. The next step would be us both signing a contract."
1, Thank you for coming to look at my house.
1, I really wanted to take a look and help give you an idea of what we need to do.
0, When will people come to look at my house?
0," Basically, there are two ways people can view your home. They can come to an Open House or they can come with a Realtor to view it during a private appointment."
0," Will people from other real estate offices be involved, or just from your office?"
0, Your house is going to be listed as a Multiple Listing so that it will have the maximum exposure to a variety of people.
0, Will I know when people are going to come see my house?
0," We will set the parameters in the contract, but usually you will receive at least four hours of notification that someone is coming."
0, What happens during an Open House day?
0, You will be expected to be away during an Open House. I will take care of the details.
1, I appreciate you dropping by to look at my home.
0," It is useful for us to take a walk through your home together, so that we make sure that we are on the same page."
0, How do you show my home to potential buyers?
0, We will have an Open House or two on a weekend and we also will show your home with private appointments during the week.
0, Are you the only real estate office that will be showing my house?
0," We are placing your house as a Multiple Listing. That way, people who don't work for my particular office can show your home to their clients."
0, How will I know when to expect prospective buyers?
0," That will be set in your contract. Usually, you will be given four hours notice."
0, Can I stay home during an Open House day?
0, The seller is never at home during an Open House. I personally will handle the showing of your home.
0, This is NAME NAME in apartment 23. Can I speak to the apartment manager?
0, Hi. How can I help you today?
-1," Well, my window facing the empty lot is broken. "
-1," Oh, that's not good. What happened? "
-1, I don't know. I wasn't home when it happened. 
0, Do you have any clue who might have done this?
-1, I have a feeling that it might have been the neighborhood kids. 
0," Why, what leads you to that suspicion?"
-1," Well, next to the broken glass was a baseball. "
1," Well, a baseball is certainly solid evidence."
0, I saw them playing just before I left my apartment.
0," Well, did you recognize any of them?"
-1," No, I just took a quick look. "
0," Well, it'll take a couple of days to repair it."
0, A friend of mine is in the business. How about if I call him?
1," That's okay by me. First, let me come see the damage."
0, Come on over. So does my friend charge you or me?
0," Since you didn't break it, you don't have to pay for it."
1, That's a relief. I thought I was going to get stuck with the bill.
-1," If I knew which kid did it, I would bill his parents. "
0, Do you know where I can find old music boxes?
1, You could try shopping at a flea market.
-1, What's that? I never heard of such a thing. 
0, A flea market is an outdoor place where people sell all kinds of used stuff.
0, Where can I find one?
0," Well, you can check the local paper or search 'flea market' online."
1, Thanks for stopping by to evaluate my home.
0, I want to make sure that you are very clear on what the steps are to selling a home.
0, When can people come and see my home?
0, We will have several Open House weekends. Various realtors will also show your house during the week.
0," Will I know all of the realtors who will be showing my home, or will they be strangers?"
0, Your house will be listed on what we call a Multiple Listing. That way it will be shown by a variety of realtors.
0, Can people just drop in anytime they feel like it?
0, We usually try and give you at least four hours of notification that someone is coming to look at your home.
0, Will I have to go away during an Open House day?
0, I will handle all of the work involved for the Open House. The only thing that you need to do is be somewhere else!
0, How much do you think that I should ask for my house?
0," Well, there are a lot of factors involved in setting an asking price."
0, What do you look at when setting an asking price?
0," We need to look at the selling prices for similar homes in the area. These will vary according to the condition of the home, specific location, and lot size."
0, Do I have to use the comparisons as the asking price for my house?
0," No, but a seller is not going to be able to get a loan if the selling price is a lot higher that what an appraiser feels the home is worth."
1, Isn't it better to price my house really high and see what I can get?
0, You shouldn't set the price of the house unrealistically high. Oftentimes buyers are put off by this practice.
0, Can I change my mind and lower my price if the home doesn't sell?
0," Sure, you can always lower your asking price."
0, I am not sure what the asking price for my house should be.
0, We have to take in a number of factors in setting an asking price.
0, What do we need to consider in establishing an acceptable price for a home?
0, The comparisons to other similar homes in your area give us a good indication of what your home is worth.
-1, Is the price that we get by looking at comparisons necessarily the asking price that I have to use for my home? 
0," You don't have to use that particular asking price, but the buyer is going to have trouble getting a loan if the house is priced too high."
0," Should I just shoot for the moon and, if I have to lower the price, do it later?"
0," You should be realistic in your pricing. Otherwise, many potential buyers just walk away."
0, Can we lower the asking price later if we need to?
0," We can always re-evaluate the asking price in a few weeks, if we aren't getting any offers."
0, What do you think the asking price of my home should be?
0, There are many things to take into consideration when pricing a home.
0, What is involved in figuring out an asking price?
0, We need to combine many factors regarding your home to come up with an accurate value for your home.
0," When you look at comparisons, do I necessarily have to ask that price?"
0," You don't have to use the price from the comparisons as your asking price. However, you must be realistic in what you ask."
0, I think that I am going to set the price really high so that I have room to bargain with the buyers.
0," Don't go overboard in trying to get top dollar. More often than not, that strategy backfires."
0, Is it okay to lower the asking price if the first price isn't bringing in any offers?
0," If the market doesn't support your asking price, we can always re-evaluate our pricing and adjust it."
0, My wife thinks I should get a lawyer to look at the contract.
0," Well, it certainly wouldn't hurt to have a lawyer review it."
0, How much does a lawyer cost?
0, I don't know. A good real estate lawyer might cost $400 an hour.
-1, That can't be legal! 
0, Just think how much it'll be 10 years from now.
0, Do you know any lawyers that are cheaper than that?
0, You'd have to check the yellow pages or go online.
0, There's no telling how many hours the lawyer will charge me for.
0," Also, it might take a week or two just to get an appointment."
0," I'd rather get this over with, so just show me where to sign."
1, Good man! I've marked all the places for you to sign and date.
0, My wife said to have a lawyer look at the contract.
1, That's always a good idea.
0, Do you know how much a lawyer runs?
0, I've heard that they're about $400 an hour.
-1, Who can afford that? 
-1," A few years ago, $100 an hour was outrageous. "
0, Can you help me find a cheaper lawyer?
-1, I'm afraid I can't help you with that. 
0," The lawyer will start at $400, but where will it end?"
0," Also, a good lawyer might not have time to see you immediately."
-1," My wife's going to kill me, but just show me where to sign. "
0, Now you're talking. The red stickers indicate where to sign and date.
0, My wife told me to get a lawyer to review the contract first.
1, A smart husband always does what his wife tells him.
0, How much are lawyers charging nowadays?
0," It's hard to believe, but I think they charge about $400 an hour."
-1, That's highway robbery! 
0, I think lawyers are making twice what doctors are making.
0, Are there any lawyers that are cheaper than that?
0, The best advice I can give you is to Google it.
-1," I can barely afford one hour, but certainly not two. "
0," Remember, it might take a few days just to set up an appointment."
-1," I really don't have the time or the money, so where do I sign? "
1, Your wife will thank you. Just sign and date where the little red stickers are.
0," So, during the time that you are showing my house, how will my valuables be protected?"
0, Our real estate company takes every precaution to see that your valuables are protected at all times.
0, How will I know when someone will be looking at my home?
0, We will typically give you at least 4 hours notice on a weekend before we come by.
0, Will you always accompany whoever is looking at my house?
0, Your house is listed on the multiple listing. That means that people from a variety of real estate offices will be showing your home.
0, How will the realtors get into my house if I am not at home?
0, We put a lockbox on your house. The realtors will have a key to the lockbox and then they can get a key to your front door.
0, What about people watching my stuff during an Open House?
0, We always suggest that you either store your jewelry in a safe or move it into a friend's house while your house is being shown.
-1, I am worried about the security of my home while it is being shown. 
0, We do everything we can to protect your home and your valuables
0, Do people just come and look whenever they want to?
0," During the week, we will let you know the night before if we will be bringing someone by the next day."
0," I am assuming that someone from your office will always be there, right?"
0, Your home is listed exclusively with our office. We will be the only ones showing your home.
0, Does everyone have a copy of my house key?
0," Realtors have a special key to what is called a lockbox. Once they get into the lockbox, they can get a key to the house."
-1, I have heard horror stories from friends about being ripped off during their Open House. 
0, Our company has invested in several cameras that we place in the key rooms while the house is being shown.
-1, I have heard horror stories about people's things being stolen while their house is being shown. 
0, We have a very good track record when it comes to home security.
-1, I am not so sure that I like the idea of people showing up whenever they want to pop in! 
0, We will always call at least 12 hours in advance if we are bringing someone by to see your home.
0, Are you the only one showing my house?
0," To get maximum exposure and a variety of buyers, your home is listed on the multiple listing. Many different realtors will be showing your home."
0, Do you have to come and let the different realtors in when they come to look at my house?
0, The realtors can get a key to your house by unlocking a lockbox on your front door. They use it while they are there and return it when they leave.
-1, The thing I worry about the most is having my valuables stolen during an Open House. 
0, Our realtors try to be very aware at all times of who is in the house and what they are doing.
0, Where can I find old music boxes?
0, Have you tried a flea market?
0, What's a flea market?
0, A flea market is like an outdoor thrift shop.
1, That sounds promising. Is there one nearby?
0, Flea markets occur weekly or monthly in various neighborhoods. Check online or in a local paper.
0, So what do you think I should do to fix up the interior of my house?
0, A fresh coat of paint is the number one improvement that you can make to your home.
0, What colors do you think would be best?
0, You need to go with fairly neutral tones. You want fairly contemporary colors that will go with a variety of furnishings.
0," After paint, what is the next most important improvement that I can make?"
0, Remove any extra furnishings and personal items. Make your home look as uncluttered as possible.
0, Should I get a new carpet?
1, Your carpet is in really good shape. New owners typically want to pick out their own carpeting.
0, How about improvements to the bathroom?
0, New faucets are not that expensive and can quickly add a clean and more up-to-date look.
0, What are your suggestions for some inexpensive fixes to help me get the best price for my home?
0, Painting the interior of your home is not that expensive and greatly improves the appearance of your home.
0, Should I go for trendy colors or more traditional tones?
0," You don't want to make any dramatic statements with paint, but don't go with just white either."
0, What else can I do besides paint the inside of my home to improve its value?
0, You need to get rid of any extra furniture or knick-knacks.
0, I need to know if I should replace the carpeting.
0, Your carpeting is very worn. You might want to explore buying some attractive inexpensive carpeting.
0, How about improvements to the kitchen?
1, You could inexpensively replace the linoleum flooring; that would really brighten things up.
0, What do people usually do to improve the interior of their houses before they sell them?
1," Your house looks very nice on the inside, but a fresh coat of paint always helps brighten a home's interior."
-1, I get confused when trying to pick out colors that other people might like. 
1, Lighter neutral colors are usually best. They make rooms appear larger.
0," The painting suggestion is a good one, but after that, what improvement will add value to my home?"
0, Your interior should have only the most basic of furniture. Either store or get rid of any extra clutter.
0, What about replacing the floor covering?
1," I know that your carpeting is not brand new, but with a good steam cleaning, I think that it will look great."
0, Is there anything that I can do to the bathrooms and kitchen that wouldn't cost too much?
0, New curtains or blinds do not cost that much and brighten up any room.
0, Can you help me figure out some inexpensive ways to fix up the exterior of my home?
0," Like the interior, the number one thing you can do is to repaint the outside of your home if it needs it."
0, What do you think of the landscaping?
1, Your lawn looks really good. Perhaps you could get some timers installed for your sprinklers.
0, How about adding some flowers or something?
1, Colorful flowers are always a nice addition to a yard to add curb appeal.
0, What about fixing up the backyard?
0, Make sure the lawn is well trimmed and the bushes are cut back.
0, Can you think of any more overall suggestions for the exterior?
0, Wash all of the windows inside and out.
0, What can I do to fix up the exterior of my home?
1," I would say the number one thing that you can do is paint your home, but your home has been painted recently and looks great!"
0, What can I do about the landscaping?
0, Your lawn looks a little dried out. I think all it needs is a little fertilizer and water.
0, My front yard looks a little boring. How can I brighten it up?
0, I would definitely put in some new plantings to liven your yard up a bit.
0, Should I be worried about what my backyard looks like?
0, You need to repair that section where your fence is falling down.
0, What else can I do to make the exterior of the house look extra good to buyers?
0, Make sure to keep the sidewalks and driveways swept clean at all times.
0, I keep hearing about curb appeal and want to know how to achieve it.
1," The paint job on your home looks pretty good, but I would touch up the wooden trim a little where you have some peeling spots."
0, I am not so sure that everyone will like the landscaping.
-1," Your lawn is a disaster! To get top dollar for your home, you should replace it. "
0, Is there anything I can do to add some interest to my front yard?
1," You have beautiful plants in your yard, although some of them aren't in bloom right now. Just add a few colorful flowers in pots."
0, Is the appearance of the backyard important?
1," If you can borrow some really nice patio furniture to show off your lovely patio, that would be nice."
0, Any final suggestions on how I can make the exterior of my house even more appealing?
1, Having your trees and bushes trimmed could be a good investment.
0, What should I do to get ready for the Open House?
0, Your house needs to be as clean and uncluttered as possible.
0, Can we stay in the house while it is being shown?
0, No one is to be in the house during the Open House except for the realtor and the potential buyers who are looking at the house.
0, Can we leave our dog in the backyard during the Open House?
0," Absolutely no pets are to remain in the house during Open House. Take them with you or board them, please."
-1, I have a lot of expensive jewelry and am afraid to leave it in the house. 
0," We will do our best to watch over your things, but expensive jewelry and guns need to go with you."
0, How will we know when to come home?
0, The Open House will last from eleven o'clock until four o'clock.
0, Is there anything special I should do to get ready for our Open House this weekend?
0, Just make sure that your house is perfectly clean and that everything is put away.
0," My husband wants to watch the game, and we were wondering if he could stay in his den during Open House."
0, Everyone in the household must leave the premises before potential buyers arrive.
0, Can the cat stay on the bed during Open House?
-1, No pets are allowed at the Open House! 
0, Where can I hide my expensive jewelry?
0," If you have a safe, put your jewelry in there. Otherwise, please take your valuables with you."
0, Will you let us know when everyone has left?
0," Usually the Open Houses last until four o'clock. If this one ends earlier, I will call you on your cell phone."
0, So how much did the buyers bid on our house?
0, Your asking price was three hundred thousand dollars. The potential buyers offered two hundred ninety thousand dollars.
1, That's a great offer!
1," Yes, it is a good offer. Before you accept, we should look at some details."
0, What else do we need to look at?
0," They want you to pay all closing costs. Of course, they are making the sale contingent on an inspection showing no major defects in the house."
1, I think that that sounds fair.
0," You could put in a counteroffer, but I know that these buyers also have their eye on another house down the street."
1, I definitely want to accept their offer.
1, Excellent decision! I will notify them immediately.
1, I am so anxious to hear what the bid was on our house!
0, Remember that we set the asking price at three hundred thousand dollars. The first offer is two hundred ninety thousand dollars.
1, That's way better than I expected so early in the game!
1," The offer is definitely a good one, but let's make sure we look at the whole picture."
0, What are the other considerations?
0," They want you to pay for the inspection, but they want to pick out the inspector. If the house is defective, they will want out of the deal."
1, I don't have a problem with that.
0," You could make them a counteroffer, but I know that you need a timely sale."
1, Please notify the buyers that I have accepted their offer.
0, Do you know where they sell old music boxes?
0, How about a flea market?
0, A flea market? What's that?
0, A flea market is a big outdoor place where you can buy all sorts of second-hand things.
1, I like the sound of that. Tell me where one is.
0," I myself don't know of any, but maybe they're listed in the Yellow Pages."
0, What did the buyers offer us on our house?
0," With the original asking price at three hundred thousand dollars, the buyers are willing to pay two hundred ninety thousand dollars."
1, I am really pleased with that offer.
0, I agree that the offer is in the ballpark. We need to consider everything before you accept.
0," Besides the selling price, what else is there to consider?"
0, They want you to pay to have the cracks in the back wall fixed and a couple of the roof tiles replaced.
1, All of that is acceptable to me.
0," A counteroffer by you is always a possibility, but their price is very close to your asking price. You could risk losing the sale."
1, I wish to officially accept their offer.
1, This is a win-win situation for both you and the buyer. I am sure that you will both be happy with your decision.
0, I hear the young couple that came by the other day made an offer on our house.
0," Yes, the potential buyers made an offer this morning."
0, Is the offer a good offer?
1, The offer is pretty good. You asked three hundred thousand and they offered two hundred eighty thousand.
0," I would be willing to take two hundred ninety thousand, but no lower."
0, You could make a counteroffer of two hundred ninety thousand dollars. Would you like to do that?
0," Yes, I would like to make the counteroffer."
0, I will make the counteroffer immediately by phone.
0, What if they don't accept the counteroffer?
0, They can make a counteroffer themselves or state that their first offer stands.
0, I got a message on my machine that you received an offer on my house.
0," Yes, the offer came in late last night. It was too late to call you."
0, Is the offer as high as we were hoping for?
0," They offered two hundred eighty thousand dollars, and you were asking three hundred thousand dollars. They are definitely in the ballpark."
0," I was prepared to go a little lower, but more like two hundred ninety thousand dollars."
0, Would you like to make a counteroffer of two hundred ninety thousand dollars?
1, I definitely would like to make a counteroffer.
0, I will FAX them the counteroffer right away.
0, What if my counteroffer gets turned down?
0," They have an option of making a counteroffer, or they can just reject your counteroffer."
0, My assistant called and said that you had received a response to our counteroffer.
0," Yes, the buyers called me just an hour ago."
0, Did they accept the counteroffer?
0, They came back with their own counteroffer of five thousand less than you wanted.
0, What do you think about their offer?
1, I think that this is a good offer. They also would like to have a 90-day escrow to allow them to sell their home.
0, The length of the escrow is not a huge issue with us.
0, They also want the sale contingent on a good building inspection.
1," That is reasonable, and I accept those conditions."
1, I will let them know that you have accepted their counteroffer. They will be very pleased!
0, I had a message on my phone that the buyers had responded to our counteroffer.
0," Yes, the response just came through on the fax machine."
0, Was the counteroffer acceptable to them?
0, They made their own counteroffer of five thousand less than you proposed.
0, Do you feel that their counteroffer is reasonable?
